no,namae,rubi,seibetu,denwa,keitai,mairu,yuubinbango,jusho1,jusho2,jusho3,jusho4,jusho5,tanjobi,department_name,skill_name
1,三井 碧透,ミツイ アオト,男,0555-39-4957,080-2422-3182,aoto798@hdhq.zjxn.jt,409-2524,山梨県,南巨摩郡身延町,身延,3-2,,1998/01/10,pd1,rails
2,石山 光彦,イシヤマ ミツヒコ,男,059-67-1107,,mitsuhikoishiyama@auplhztl.be,510-0834,三重県,四日市市,ときわ,4-14,ときわグリーン105,1946/04/02,pd1,rails
3,岩間 匠,イワマ タクミ,男,086-749-2481,090-5535-0024,cwi=wdlnwtakumi56147@ipun.jjn.rsg,710-0053,岡山県,倉敷市,東町,2-19-18,東町アパート316,1987/04/16,pd1,rails
4,佐竹 千裕,サタケ チヒロ,女,098-292-5566,,osatake@maaaesdm.iwlzu.cwe,907-1432,沖縄県,八重山郡竹富町,古見,2-3-5,,1944/01/21,pd1,rails
5,奥田 照夫,オクダ テルオ,男,083-484-6594,,teruo_okuda@usgbbt.sso,755-0058,山口県,宇部市,中山,4-11-7,中山ランド306,2019/07/20,pd1,rails
6,平原 花梨,ヒラハラ カリン,女,022-902-9181,,karinhirahara@vtcfgzfs.tkt,989-4567,宮城県,栗原市,瀬峰西原前,2-17,,1947/10/15,pd1,rails
7,秋本 丈夫,アキモト タケオ,男,0767-66-1646,090-1754-7307,takeo9592@wpgtfawvl.zng,923-0907,石川県,小松市,浜田町,4-3-12,,1970/11/12,pd1,rails
8,大橋 勝也,オオハシ カツヤ,男,03-4808-5105,080-6161-9196,katsuyaoohashi@fnzyym.wj,106-0044,東京都,港区,東麻布,1-13-12,,1982/07/21,pd1,rails
9,笠井 亜矢子,カサイ アヤコ,女,0994-88-2849,,ayakokasai@rafghzjtqe.gws,894-1113,鹿児島県,奄美市,住用町見里,3-2,,1951/10/26,pd1,rails
10,高橋 徳康,タカハシ トクヤス,男,076-314-1616,,tokuyasu753@otidlmq.jwp,939-1622,富山県,南砺市,遊部川原,1-3-12,,1939/03/03,pd1,rails
